".y.","group1","group2","effsize","tract","n1","n2","conf.low","conf.high","magnitude"
"mean_fa_pre","0","1",0.533255841244022,"Left_Arcuate",27,56,0.07,1.02,"moderate"
"mean_fa_pre","0","1",0.615232301750669,"Left_IFOF",27,56,0.15,1.11,"moderate"
"mean_fa_pre","0","1",0.402067189106791,"Left_ILF",27,56,-0.0098,0.83,"small"
"mean_fa_pre","0","1",0.384944856230855,"Left_SLF",27,56,-0.05,0.91,"small"
"mean_fa_pre","0","1",0.548893192374942,"Right_Arcuate",27,56,0.03,1.24,"moderate"
"mean_fa_pre","0","1",0.589901148254975,"Right_IFOF",27,56,0.16,1.01,"moderate"
"mean_fa_pre","0","1",0.228487491817463,"Right_ILF",27,56,-0.18,0.64,"small"
"mean_fa_pre","0","1",0.321191848598771,"Right_SLF",27,56,-0.1,0.79,"small"
