"model","node","fstat","pval","variable","tract"
"38",39,4.6007629009641,0.0354298138106243,"mean_RMSt","leftAF"
"38",39,0,0,"Residuals","leftAF"
"39",40,0.0777409196812499,0.781204574870878,"risk","leftAF"
"39",40,4.73618301903114,0.0329110669955321,"mean_RMSt","leftAF"
"39",40,0,0,"Residuals","leftAF"
"4",5,3.92573482012553,0.0514813854596738,"risk","leftAF"
"4",5,0.457306550588877,0.501113773666784,"mean_RMSt","leftAF"
"4",5,0,0,"Residuals","leftAF"
"40",41,0.00502194214428701,0.94370674581012,"risk","leftAF"
"40",41,4.20423664212201,0.0440693199662055,"mean_RMSt","leftAF"
"40",41,0,0,"Residuals","leftAF"
"41",42,0.000628322228045033,0.980073356669537,"risk","leftAF"
"41",42,2.8350105608686,0.0966849676249042,"mean_RMSt","leftAF"
"41",42,0,0,"Residuals","leftAF"
"42",43,0.0445341074558773,0.833476184588977,"risk","leftAF"
"42",43,1.94608522422879,0.167420033747474,"mean_RMSt","leftAF"
"42",43,0,0,"Residuals","leftAF"
"43",44,0.211964345988173,0.646659147717817,"risk","leftAF"
"43",44,1.73800640231936,0.191689152380645,"mean_RMSt","leftAF"
"43",44,0,0,"Residuals","leftAF"
"44",45,0.705403306207526,0.403833507601214,"risk","leftAF"
"44",45,1.63948862655512,0.20462227733297,"mean_RMSt","leftAF"
"44",45,0,0,"Residuals","leftAF"
"45",46,1.76975279594757,0.187730595229056,"risk","leftAF"
"45",46,1.59956571836931,0.210159289035956,"mean_RMSt","leftAF"
"45",46,0,0,"Residuals","leftAF"
"46",47,3.26012874155135,0.0752832901471527,"risk","leftAF"
"46",47,1.314752153774,0.255440404747156,"mean_RMSt","leftAF"
"46",47,0,0,"Residuals","leftAF"
"47",48,4.28975995088868,0.0420307130729449,"risk","leftAF"
"47",48,1.03268878853901,0.313027584460653,"mean_RMSt","leftAF"
"47",48,0,0,"Residuals","leftAF"
"48",49,4.81805045919607,0.0314817699000921,"risk","leftAF"
"48",49,0.959574249167344,0.330667648651991,"mean_RMSt","leftAF"
"48",49,0,0,"Residuals","leftAF"
"49",50,4.9257679715971,0.0297013166001107,"risk","leftAF"
"49",50,0.811149215883597,0.370868894053826,"mean_RMSt","leftAF"
"49",50,0,0,"Residuals","leftAF"
"5",6,2.29984174112416,0.133890403541204,"risk","leftAF"
"5",6,0.114488165459676,0.736103940139962,"mean_RMSt","leftAF"
"5",6,0,0,"Residuals","leftAF"
"50",51,4.41954028937929,0.0391283623708076,"risk","leftAF"
"50",51,0.419249983339363,0.519429474652879,"mean_RMSt","leftAF"
"50",51,0,0,"Residuals","leftAF"
"51",52,2.97027256326211,0.0892222256077587,"risk","leftAF"
"51",52,0.145465046962123,0.704062583633212,"mean_RMSt","leftAF"
"51",52,0,0,"Residuals","leftAF"
"52",53,1.70243809068978,0.196242710323325,"risk","leftAF"
"52",53,0.0545083419944132,0.816077700406541,"mean_RMSt","leftAF"
"52",53,0,0,"Residuals","leftAF"
"53",54,0.577474487742542,0.449855776454474,"risk","leftAF"
"53",54,0.0367513019885471,0.848527289730788,"mean_RMSt","leftAF"
"53",54,0,0,"Residuals","leftAF"
"54",55,0.0821438406426128,0.77525949485524,"risk","leftAF"
"54",55,0.0356158285454279,0.850857133078686,"mean_RMSt","leftAF"
"54",55,0,0,"Residuals","leftAF"
"55",56,0.0029203573216023,0.95705696828277,"risk","leftAF"
"55",56,0.0530988482792976,0.818428310358671,"mean_RMSt","leftAF"
"55",56,0,0,"Residuals","leftAF"
"56",57,0.13573833362913,0.713666870799144,"risk","leftAF"
"56",57,0.126668668131161,0.722981770999794,"mean_RMSt","leftAF"
"56",57,0,0,"Residuals","leftAF"
"57",58,0.206247985703097,0.651129277431702,"risk","leftAF"
"57",58,0.310745063598549,0.579001621624695,"mean_RMSt","leftAF"
"57",58,0,0,"Residuals","leftAF"
"58",59,0.152209120718761,0.697617772144164,"risk","leftAF"
"58",59,0.36023350328129,0.550314762221763,"mean_RMSt","leftAF"
"58",59,0,0,"Residuals","leftAF"
"59",60,0.0791714698101844,0.779253459098235,"risk","leftAF"
"59",60,0.445254307723478,0.506791073028016,"mean_RMSt","leftAF"
"59",60,0,0,"Residuals","leftAF"
"6",7,2.05526537894069,0.156132627111581,"risk","leftAF"
"6",7,0.1565506049395,0.693555684532068,"mean_RMSt","leftAF"
"6",7,0,0,"Residuals","leftAF"
"60",61,0.0284064125917751,0.866642939340099,"risk","leftAF"
"60",61,0.347297677615595,0.557544095967519,"mean_RMSt","leftAF"
"60",61,0,0,"Residuals","leftAF"
"61",62,0.000140990307254757,0.990559970747185,"risk","leftAF"
"61",62,0.32622159252204,0.56972173460657,"mean_RMSt","leftAF"
"61",62,0,0,"Residuals","leftAF"
"62",63,0.0376157285486558,0.846778522529135,"risk","leftAF"
"62",63,0.254703568589287,0.615367550151329,"mean_RMSt","leftAF"
