".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.503815492415494,9,"Right_IFOF",27,56,0.07,1.02,"moderate"
"pre","0","1",0.0286592939614419,9,"Right_ILF",27,56,-0.45,0.51,"negligible"
"pre","0","1",0.112505861632161,9,"Right_SLF",27,56,-0.46,0.6,"negligible"
"pre","0","1",0.226509922872412,10,"Left_Arcuate",27,56,-0.25,0.71,"small"
"pre","0","1",-0.0885573429449818,10,"Left_IFOF",27,56,-0.54,0.38,"negligible"
"pre","0","1",0.1908585260015,10,"Left_ILF",27,56,-0.26,0.65,"negligible"
"pre","0","1",0.187946061145019,10,"Left_SLF",27,56,-0.3,0.68,"negligible"
"pre","0","1",0.786355886250457,10,"Right_Arcuate",27,56,0.32,1.37,"moderate"
"pre","0","1",0.529993836955117,10,"Right_IFOF",27,56,0.05,1.01,"moderate"
"pre","0","1",-0.0222271156354314,10,"Right_ILF",27,56,-0.49,0.4,"negligible"
"pre","0","1",0.133666115429735,10,"Right_SLF",27,56,-0.42,0.65,"negligible"
"pre","0","1",0.178398876467854,11,"Left_Arcuate",27,56,-0.31,0.7,"negligible"
"pre","0","1",-0.116611630575612,11,"Left_IFOF",27,56,-0.59,0.35,"negligible"
"pre","0","1",0.253388703534646,11,"Left_ILF",27,56,-0.24,0.75,"small"
"pre","0","1",0.255915349168613,11,"Left_SLF",27,56,-0.24,0.78,"small"
"pre","0","1",0.928709742220036,11,"Right_Arcuate",27,56,0.47,1.52,"large"
"pre","0","1",0.557844918875718,11,"Right_IFOF",27,56,0.1,1.13,"moderate"
"pre","0","1",-0.0209791041185514,11,"Right_ILF",27,56,-0.47,0.43,"negligible"
"pre","0","1",0.144507679964271,11,"Right_SLF",27,56,-0.41,0.63,"negligible"
"pre","0","1",0.162691978190123,12,"Left_Arcuate",27,56,-0.37,0.67,"negligible"
"pre","0","1",-0.0952668206842906,12,"Left_IFOF",27,56,-0.56,0.37,"negligible"
"pre","0","1",0.343920553609923,12,"Left_ILF",27,56,-0.17,0.84,"small"
"pre","0","1",0.318168969931662,12,"Left_SLF",27,56,-0.16,0.86,"small"
"pre","0","1",0.996149364330162,12,"Right_Arcuate",27,56,0.48,1.7,"large"
"pre","0","1",0.551700509078842,12,"Right_IFOF",27,56,0.06,1.09,"moderate"
"pre","0","1",0.0343906016132466,12,"Right_ILF",27,56,-0.46,0.49,"negligible"
"pre","0","1",0.180366140439005,12,"Right_SLF",27,56,-0.36,0.69,"negligible"
"pre","0","1",0.220765277099901,13,"Left_Arcuate",27,56,-0.27,0.77,"small"
"pre","0","1",-0.0944695557716881,13,"Left_IFOF",27,56,-0.56,0.38,"negligible"
"pre","0","1",0.394290346688885,13,"Left_ILF",27,56,-0.07,0.9,"small"
"pre","0","1",0.356614798287616,13,"Left_SLF",27,56,-0.14,0.89,"small"
"pre","0","1",0.920733359167589,13,"Right_Arcuate",27,56,0.35,1.71,"large"
"pre","0","1",0.450713740926502,13,"Right_IFOF",27,56,-0.05,0.98,"small"
"pre","0","1",0.0868286605885286,13,"Right_ILF",27,56,-0.36,0.53,"negligible"
"pre","0","1",0.241979214800588,13,"Right_SLF",27,56,-0.23,0.72,"small"
"pre","0","1",0.313257510176811,14,"Left_Arcuate",27,56,-0.2,0.79,"small"
"pre","0","1",-0.0510484217194646,14,"Left_IFOF",27,56,-0.54,0.41,"negligible"
"pre","0","1",0.418457377792531,14,"Left_ILF",27,56,0.0013,0.91,"small"
"pre","0","1",0.357834084262873,14,"Left_SLF",27,56,-0.09,0.88,"small"
"pre","0","1",0.814245278044637,14,"Right_Arcuate",27,56,0.23,1.61,"large"
"pre","0","1",0.356570026945722,14,"Right_IFOF",27,56,-0.14,0.85,"small"
"pre","0","1",0.14614647875572,14,"Right_ILF",27,56,-0.33,0.61,"negligible"
"pre","0","1",0.297173807473393,14,"Right_SLF",27,56,-0.2,0.74,"small"
