"time","risk","tract","node","mean_fa","sd","se"
"ses-01","0","Left_Arcuate",67,0.5062508,0.0767894158244915,0.0153578831648983
"ses-01","0","Left_Arcuate",68,0.5076844,0.0731760217489309,0.0146352043497862
"ses-01","0","Left_Arcuate",69,0.5064184,0.0677822236824179,0.0135564447364836
"ses-01","0","Left_Arcuate",70,0.5045104,0.0651382622759721,0.0130276524551944
"ses-01","0","Left_Arcuate",71,0.50139,0.0655636893282656,0.0131127378656531
"ses-01","0","Left_Arcuate",72,0.4961776,0.0616915728496743,0.0123383145699349
"ses-01","0","Left_Arcuate",73,0.492742,0.0625708472453426,0.0125141694490685
"ses-01","0","Left_Arcuate",74,0.4925048,0.0649575571123176,0.0129915114224635
"ses-01","0","Left_Arcuate",75,0.4934108,0.0611503963546708,0.0122300792709342
"ses-01","0","Left_Arcuate",76,0.4933864,0.0550834559917949,0.011016691198359
"ses-01","0","Left_Arcuate",77,0.4913972,0.0523500368926963,0.0104700073785393
"ses-01","0","Left_Arcuate",78,0.4878988,0.053843013112195,0.010768602622439
"ses-01","0","Left_Arcuate",79,0.4819476,0.0574394917340558,0.0114878983468112
"ses-01","0","Left_Arcuate",80,0.4775516,0.0551385711699774,0.0110277142339955
"ses-01","0","Left_Arcuate",81,0.4699456,0.0541231745712192,0.0108246349142438
"ses-01","0","Left_Arcuate",82,0.4615824,0.0576568841856721,0.0115313768371344
"ses-01","0","Left_Arcuate",83,0.4553512,0.0588912840410192,0.0117782568082038
"ses-01","0","Left_Arcuate",84,0.4469672,0.0617323001299428,0.0123464600259886
"ses-01","0","Left_Arcuate",85,0.4394272,0.0620591773712801,0.012411835474256
"ses-01","0","Left_Arcuate",86,0.432442,0.0585693821463058,0.0117138764292612
"ses-01","0","Left_Arcuate",87,0.4218776,0.0555472256492917,0.0111094451298583
"ses-01","0","Left_Arcuate",88,0.408164,0.0546942679050252,0.010938853581005
"ses-01","0","Left_Arcuate",89,0.3960264,0.0582845376064699,0.011656907521294
"ses-01","0","Left_Arcuate",90,0.3859116,0.0590724298834349,0.011814485976687
"ses-01","0","Left_Arcuate",91,0.3776952,0.0561343257374666,0.0112268651474933
"ses-01","0","Left_Arcuate",92,0.3697248,0.0478100075054028,0.00956200150108055
"ses-01","0","Left_Arcuate",93,0.3600808,0.0474262130331599,0.00948524260663198
"ses-01","0","Left_Arcuate",94,0.35305,0.0475511960066902,0.00951023920133803
"ses-01","0","Left_Arcuate",95,0.3483536,0.0450356432802582,0.00900712865605164
"ses-01","0","Left_Arcuate",96,0.336782,0.0432985941842612,0.00865971883685223
"ses-01","0","Left_Arcuate",97,0.313578,0.0370129918632183,0.00740259837264367
"ses-01","0","Left_Arcuate",98,0.2807984,0.0286588434111823,0.00573176868223646
"ses-01","0","Left_Arcuate",99,0.2345,0.0152362831753679,0.00304725663507359
"ses-01","0","Left_IFOF",2,0.2673396,0.015683346656034,0.0031366693312068
"ses-01","0","Left_IFOF",3,0.3154604,0.0220411097875462,0.00440822195750925
"ses-01","0","Left_IFOF",4,0.3437976,0.0254022978422557,0.00508045956845113
"ses-01","0","Left_IFOF",5,0.3585112,0.0249847105446511,0.00499694210893022
"ses-01","0","Left_IFOF",6,0.371902,0.0250637028389661,0.00501274056779323
"ses-01","0","Left_IFOF",7,0.3871452,0.0244537396799208,0.00489074793598416
"ses-01","0","Left_IFOF",8,0.4034008,0.0248738426732448,0.00497476853464896
"ses-01","0","Left_IFOF",9,0.4173184,0.0290737842508791,0.00581475685017582
"ses-01","0","Left_IFOF",10,0.431464,0.0349880008002744,0.00699760016005487
"ses-01","0","Left_IFOF",11,0.4450912,0.0395483888546677,0.00790967777093353
"ses-01","0","Left_IFOF",12,0.4589132,0.0428913094072292,0.00857826188144584
"ses-01","0","Left_IFOF",13,0.4709616,0.0466471562798848,0.00932943125597697
"ses-01","0","Left_IFOF",14,0.4839532,0.051429103281443,0.0102858206562886
"ses-01","0","Left_IFOF",15,0.4968464,0.0551482488298586,0.0110296497659717
"ses-01","0","Left_IFOF",16,0.5064272,0.0586266285857658,0.0117253257171532
"ses-01","0","Left_IFOF",17,0.5147624,0.0620535279201218,0.0124107055840244
"ses-01","0","Left_IFOF",18,0.521366,0.0658220486108822,0.0131644097221764
"ses-01","0","Left_IFOF",19,0.5282992,0.0682586937027072,0.0136517387405414
"ses-01","0","Left_IFOF",20,0.5335036,0.0682280238660528,0.0136456047732106
"ses-01","0","Left_IFOF",21,0.5343252,0.0653663633632263,0.0130732726726453
"ses-01","0","Left_IFOF",22,0.5323236,0.0605230351381466,0.0121046070276293
"ses-01","0","Left_IFOF",23,0.5288092,0.0548733317073664,0.0109746663414733
"ses-01","0","Left_IFOF",24,0.5244432,0.0509649434840591,0.0101929886968118
"ses-01","0","Left_IFOF",25,0.5195092,0.0477731336562019,0.00955462673124039
"ses-01","0","Left_IFOF",26,0.5150916,0.0468073978910742,0.00936147957821483
"ses-01","0","Left_IFOF",27,0.5139216,0.0485572227445791,0.00971144454891581
"ses-01","0","Left_IFOF",28,0.5164088,0.0502955791894278,0.0100591158378856
"ses-01","0","Left_IFOF",29,0.5211908,0.0516514824666243,0.0103302964933249
"ses-01","0","Left_IFOF",30,0.5266996,0.0512280783587803,0.0102456156717561
"ses-01","0","Left_IFOF",31,0.5310716,0.0478529454579339,0.00957058909158679
"ses-01","0","Left_IFOF",32,0.5329704,0.0429666318670663,0.00859332637341327
"ses-01","0","Left_IFOF",33,0.533418,0.0395576414868227,0.00791152829736455
"ses-01","0","Left_IFOF",34,0.5322916,0.038690152890195,0.00773803057803901
"ses-01","0","Left_IFOF",35,0.5292724,0.0392272864513126,0.00784545729026252
"ses-01","0","Left_IFOF",36,0.5250408,0.0400983422267471,0.00801966844534943
"ses-01","0","Left_IFOF",37,0.5195548,0.0415286096283835,0.0083057219256767
"ses-01","0","Left_IFOF",38,0.5121512,0.0440584613818201,0.00881169227636402
"ses-01","0","Left_IFOF",39,0.50364,0.0447306840993965,0.00894613681987929
"ses-01","0","Left_IFOF",40,0.4937732,0.0439209058725645,0.00878418117451289
"ses-01","0","Left_IFOF",41,0.4845056,0.0420105322191154,0.00840210644382308
"ses-01","0","Left_IFOF",42,0.4759792,0.0397810289711063,0.00795620579422126
"ses-01","0","Left_IFOF",43,0.4670188,0.0387993708411189,0.00775987416822378
"ses-01","0","Left_IFOF",44,0.45864,0.0391390605192988,0.00782781210385976
"ses-01","0","Left_IFOF",45,0.4506492,0.0396477112538248,0.00792954225076496
"ses-01","0","Left_IFOF",46,0.443832,0.0390255817808439,0.00780511635616878
"ses-01","0","Left_IFOF",47,0.4380332,0.038953029698172,0.00779060593963439
"ses-01","0","Left_IFOF",48,0.4340968,0.0411915130538642,0.00823830261077284
"ses-01","0","Left_IFOF",49,0.430912,0.0443049707519747,0.00886099415039494
"ses-01","0","Left_IFOF",50,0.4300432,0.0482204201834313,0.00964408403668626
"ses-01","0","Left_IFOF",51,0.4321344,0.0519143204456471,0.0103828640891294
"ses-01","0","Left_IFOF",52,0.4349388,0.0536637527666487,0.0107327505533297
"ses-01","0","Left_IFOF",53,0.437352,0.0533393868699919,0.0106678773739984
"ses-01","0","Left_IFOF",54,0.4398456,0.0531195848283223,0.0106239169656645
"ses-01","0","Left_IFOF",55,0.4415072,0.0531441289106019,0.0106288257821204
"ses-01","0","Left_IFOF",56,0.4444848,0.0518768930674663,0.0103753786134933
"ses-01","0","Left_IFOF",57,0.4496216,0.0494687150867428,0.00989374301734856
"ses-01","0","Left_IFOF",58,0.455344,0.0446246883275764,0.00892493766551528
"ses-01","0","Left_IFOF",59,0.4626772,0.0386166622629835,0.0077233324525967
"ses-01","0","Left_IFOF",60,0.4693732,0.0325936857023974,0.00651873714047948
"ses-01","0","Left_IFOF",61,0.4722612,0.0286167479109699,0.00572334958219398
"ses-01","0","Left_IFOF",62,0.4676036,0.0310329686086695,0.0062065937217339
"ses-01","0","Left_IFOF",63,0.4566592,0.0374423072784428,0.00748846145568857
"ses-01","0","Left_IFOF",64,0.442216,0.0422346637846213,0.00844693275692426
"ses-01","0","Left_IFOF",65,0.4259968,0.0460871599725274,0.00921743199450548
"ses-01","0","Left_IFOF",66,0.4105648,0.0471977509280545,0.00943955018561089
"ses-01","0","Left_IFOF",67,0.398584,0.0440797385427818,0.00881594770855635
"ses-01","0","Left_IFOF",68,0.393108,0.0390095962552806,0.00780191925105612
"ses-01","0","Left_IFOF",69,0.3938608,0.0380354283223768,0.00760708566447537
"ses-01","0","Left_IFOF",70,0.3980324,0.0399139690751663,0.00798279381503326
"ses-01","0","Left_IFOF",71,0.401906,0.041058631552939,0.00821172631058781
"ses-01","0","Left_IFOF",72,0.4030612,0.0418671682546917,0.00837343365093835
"ses-01","0","Left_IFOF",73,0.4007548,0.038170357622113,0.0076340715244226
"ses-01","0","Left_IFOF",74,0.3965832,0.032211567502995,0.00644231350059899
"ses-01","0","Left_IFOF",75,0.3935252,0.03053153958341,0.006106307916682
"ses-01","0","Left_IFOF",76,0.3937324,0.031280501685022,0.00625610033700441
"ses-01","0","Left_IFOF",77,0.3963848,0.0309632734219107,0.00619265468438214
"ses-01","0","Left_IFOF",78,0.3976664,0.0348785626471811,0.00697571252943621
"ses-01","0","Left_IFOF",79,0.3988164,0.0396131377491525,0.00792262754983051
"ses-01","0","Left_IFOF",80,0.40253,0.0430478469264143,0.00860956938528287
"ses-01","0","Left_IFOF",81,0.4085736,0.0446240081943939,0.00892480163887878
"ses-01","0","Left_IFOF",82,0.41377,0.0447259546199594,0.00894519092399188
"ses-01","0","Left_IFOF",83,0.4133856,0.0427072445142507,0.00854144890285015
"ses-01","0","Left_IFOF",84,0.4063128,0.0371271767622227,0.00742543535244455
"ses-01","0","Left_IFOF",85,0.3963632,0.0329565536881513,0.00659131073763026
"ses-01","0","Left_IFOF",86,0.3880172,0.0324169295430644,0.00648338590861288
"ses-01","0","Left_IFOF",87,0.3833292,0.0342658728328931,0.00685317456657862
"ses-01","0","Left_IFOF",88,0.3818328,0.0375021355525255,0.00750042711050511
"ses-01","0","Left_IFOF",89,0.3839024,0.0411049415399171,0.00822098830798342
"ses-01","0","Left_IFOF",90,0.387872,0.0443482275106157,0.00886964550212314
"ses-01","0","Left_IFOF",91,0.3904304,0.0478089917867619,0.00956179835735238
"ses-01","0","Left_IFOF",92,0.3897392,0.0506162119878602,0.010123242397572
"ses-01","0","Left_IFOF",93,0.3856304,0.052557181358339,0.0105114362716678
"ses-01","0","Left_IFOF",94,0.377632,0.0498949281824649,0.00997898563649299
"ses-01","0","Left_IFOF",95,0.365808,0.044343997057099,0.00886879941141979
"ses-01","0","Left_IFOF",96,0.3488836,0.0362627750914534,0.00725255501829068
"ses-01","0","Left_IFOF",97,0.3285144,0.0270971267049971,0.00541942534099942
"ses-01","0","Left_IFOF",98,0.2999732,0.0190918361086617,0.00381836722173235
"ses-01","0","Left_IFOF",99,0.2553388,0.0116232842174662,0.00232465684349325
"ses-01","0","Left_ILF",2,0.232960384615385,0.0114887400460692,0.00225312729544237
"ses-01","0","Left_ILF",3,0.277760769230769,0.0167607391061557,0.00328705137555867
"ses-01","0","Left_ILF",4,0.310557307692308,0.0233122547271073,0.00457190929843715
"ses-01","0","Left_ILF",5,0.332333846153846,0.02774783798092,0.00544179874325854
"ses-01","0","Left_ILF",6,0.348106153846154,0.0287625285504488,0.0056407959361157
